id,product_A_sold_in_the_past,product_B_sold_in_the_past,cust_hitrate,cust_interactions,cust_contracts,product_A_recommended,product_A,product_C,product_D,opp_month,opp_old,competitor_Z,competitor_X,competitor_Y,cust_in_iberia,target_variable
102,-1.86877,-1.22825,0.78444,0.6346,0.20169,0.08449,-0.22741,-0.0879,0.0111,-0.29926,-1.787,0,0,0,0,0
103,0.70147,-1.17248,1.41958,1.92129,-0.05167,-1.00674,0.00265,-0.06806,-0.00334,-2.6026,-1.74874,0,0,0,0,0
104,-0.87207,0.68475,0.95649,1.36343,-0.22188,0.17994,-0.3978,-0.20749,0.02891,-1.17354,0.05508,0,0,0,0,0
105,0.39281,-1.4378,-0.48368,0.22483,0.10024,-0.81628,0.53323,-0.13574,-0.08953,-1.35822,0.71782,1,0,0,1,0
106,-0.1159,1.56389,0.38913,0.59175,-0.09835,0.75028,-0.48763,-0.21808,-0.05716,-1.04626,-3.1123,0,0,0,0,0
107,2.19257,-0.53476,-0.93451,0.05309,-1.32997,1.77026,-2.03496,-0.02383,-0.00205,0.06291,0.48303,0,0,0,1,1
108,-0.35213,0.49077,0.55791,1.9279,-0.25392,-0.78861,-0.24936,0.06188,-0.0176,-0.60744,-1.1148,0,0,0,1,1
109,-0.05433,-0.45135,0.46048,0.05958,-1.37369,0.32737,-2.46748,0.09068,0.03662,-0.57687,-0.58921,1,0,0,0,1
110,0.88257,0.38085,-1.39585,0.57821,-0.21892,-0.68139,0.25377,0.02148,-0.01897,0.81347,-2.30928,1,0,0,1,0
111,6.33062,-1.31975,-0.82943,1.67524,-0.78065,0.73276,-1.0793,-0.11634,0.05241,-1.19646,-1.57743,0,0,0,1,0
112,0.0822,-0.37075,-0.12651,0.63285,2.23938,-1.11221,0.06336,-0.21321,-0.013,1.3642,1.14919,0,0,0,1,0
113,0.49526,-0.14101,-0.14069,2.17055,-0.33989,0.28447,1.21407,-0.19569,0.01311,-1.17131,-0.2507,0,0,0,1,0
114,2.71108,-0.46321,-0.86758,1.53655,-1.70424,-0.79839,-1.04875,-0.1469,-0.05618,-0.4108,-0.87417,0,0,0,0,1
115,-0.11715,0.48312,0.41118,2.25557,-0.43418,-0.26559,0.96126,-0.10889,-0.03929,-0.7812,-0.47473,0,0,0,0,0
116,0.48403,6.62942,0.30118,0.14721,0.21936,-0.92482,-0.53339,-0.03597,0.00555,-0.37658,0.43382,0,0,0,1,1
117,1.167,-0.43901,-0.05542,0.00876,1.37336,0.55788,1.65319,-0.12142,0.04065,-0.05541,0.36074,0,0,0,1,1
118,-1.19749,-1.54495,-0.50463,1.96801,-0.88945,-0.76958,-0.46515,0.0139,-0.00354,-0.06616,-0.41254,1,1,0,1,0
119,1.24337,-2.41949,0.93897,0.24575,-1.88243,0.34157,-0.94049,-0.04323,-0.04416,-1.25312,1.33944,0,0,0,0,1
120,1.27726,-0.16545,1.42433,0.94777,0.51684,-0.37528,0.58724,-0.01895,0.02887,-1.62291,1.15569,1,1,0,1,1
121,1.34379,2.44993,-0.28685,0.42918,-1.6806,-0.19158,-0.53579,0.09403,-0.1496,2.00317,0.32006,0,0,0,0,1
122,-0.31587,0.31179,-0.38973,0.13523,-0.73616,0.0182,-0.94145,-0.13802,-0.11111,-0.98398,-0.21808,1,0,0,0,0
123,1.72216,0.20158,0.49297,1.44935,-0.55762,-0.70946,-0.57784,0.02187,-0.00592,0.19921,0.68598,0,0,1,0,1
124,-1.97335,-0.88345,-0.18642,0.54912,-0.36963,0.06829,-0.14461,-0.0214,-0.03929,-2.10764,0.1714,0,0,0,0,0
125,1.40357,-0.00148,-0.01152,0.66921,0.38916,1.12427,1.24218,-0.05335,-0.00972,-0.77961,1.2912,1,0,0,0,1
126,1.61728,1.00426,0.69172,1.01462,-0.98363,-0.72248,-2.03409,0.06853,-0.03678,-0.6272,1.04934,0,0,0,1,1
127,-0.83922,-1.67797,-1.42748,0.7569,-0.57373,0.83745,-0.07692,0.0679,-0.01145,-0.02718,-1.82738,0,0,1,0,0
128,-0.94344,0.74443,1.15464,2.45847,-0.31427,1.09848,0.5249,-0.11465,-0.08072,-3.22245,-1.92894,0,0,0,0,0
129,0.06758,0.54528,0.15814,0.58224,-0.1504,-0.75292,0.09345,-0.03822,-0.01148,-0.33386,-1.35187,1,0,0,0,0
130,-0.33909,0.36714,-0.22919,2.28745,-0.20217,-1.26404,1.20987,0.00812,0.00972,-1.64974,1.16421,0,0,1,0,0
131,-1.38998,-0.22672,0.02861,0.00833,0.13601,0.14157,-0.17435,-0.0473,0.02103,-0.17565,-2.66446,1,0,0,1,0
132,0.27952,-0.15981,0.06994,0.30275,0.54384,-0.53793,-0.28455,0.0385,0.06068,-1.53633,0.29214,0,0,1,0,0
133,-0.25545,0.15417,-1.28496,1.58444,0.09263,1.39488,0.49233,0.00812,-0.0278,-1.35548,0.24381,0,0,0,0,0
134,0.70036,0.53389,1.29595,1.82627,0.15359,-0.07215,-0.00069,0.16326,-0.0263,-0.77363,1.44397,0,0,0,1,0
135,-1.0415,-0.82987,0.13306,0.16702,-1.88222,-0.74176,-0.49041,-0.17303,-0.11616,-1.55233,-0.02949,0,0,0,1,0
136,2.03198,-0.30862,0.4544,0.16589,-0.24977,-1.01773,0.41614,-0.03224,-0.06657,-0.97553,-2.31481,0,0,0,1,1
137,-0.18852,-0.33312,0.86124,0.2329,0.17951,0.77192,-0.75253,-0.11085,-0.04965,-1.69338,-1.73903,0,0,0,1,0
138,-0.93587,1.2524,-0.71693,0.70555,0.42894,-0.55695,-0.71118,0.04041,0.01252,-2.33317,-2.07299,0,0,0,1,0
139,1.11222,-1.19505,0.47878,1.36956,-0.99235,-0.06494,-0.62799,-0.18172,-0.07055,0.51796,-1.10692,0,0,0,0,1
140,-0.88028,-2.03678,-0.11411,0.30508,-0.95904,0.66464,1.25307,0.01463,-0.00018,-1.79605,-0.57435,0,0,1,1,0
141,0.07868,0.033,0.77742,1.04266,-0.8741,-0.48741,-3.32102,-0.083,-0.04008,-0.67868,-2.04816,1,0,0,1,1
142,1.995,0.24303,-1.60178,2.26603,0.23641,-0.13674,0.2956,-0.09342,-0.04886,0.25289,1.90599,1,0,0,0,1
143,-1.68251,-0.5089,0.02072,0.75757,0.73388,-0.11325,-0.06573,-0.16465,-0.02756,-1.11494,-2.28792,1,0,1,1,0
144,0.24742,0.09934,-0.38226,0.67398,-0.70746,0.44666,-1.78087,-0.06651,-0.05956,-1.32517,1.71916,0,1,0,1,0
145,0.17335,-0.34524,0.44581,1.52269,0.60796,0.3726,0.20973,0.08845,-0.06145,-0.27376,1.47774,1,0,0,0,1
146,0.78961,1.52441,0.47604,2.85688,-0.17652,-0.27609,0.37575,-0.02252,-0.12524,0.61793,1.04745,0,0,0,0,1
147,-1.78509,-2.17199,-0.4661,0.76605,-0.42429,-0.04908,0.48964,0.04277,-0.0524,-1.66932,-1.34065,0,0,0,1,0
148,-2.04048,-1.42463,-0.46974,0.18621,-0.51138,-0.39742,-2.75183,0.14646,-0.064,-0.65015,0.21368,1,0,0,0,0
149,1.31919,-0.14667,0.01147,0.31774,0.44661,-1.28209,1.26639,0.00638,-0.0658,-2.23249,-2.21606,1,0,0,0,1
150,-0.1265,-1.75409,-0.61731,0.59224,0.02558,0.10608,-0.83774,-0.07588,-0.01916,-0.8932,1.06636,0,0,0,1,1
151,-0.2452,-0.30071,0.77359,0.22752,1.97583,1.41375,0.58657,0.02673,-0.00707,-0.4658,-0.41098,0,0,0,0,1
152,6.50473,1.5654,-0.19537,1.65334,-1.15222,-0.80698,0.64107,-0.07443,-0.02839,-1.35462,-0.91398,0,0,0,0,1
153,-0.99951,-0.38312,-2.22559,0.40333,0.2181,-0.71842,-0.9767,-0.07044,0.00977,-0.95699,-2.13562,0,0,0,1,0
154,-0.42929,0.10038,-0.19986,0.59631,-0.8292,-0.79658,0.56046,-0.17199,-0.01122,-1.90823,-4.01626,1,0,0,1,0
155,1.11408,7.56477,-0.73084,1.4882,-1.16929,0.47967,-0.48549,0.07263,-0.05475,-0.42292,-1.85781,0,0,0,0,0
156,-0.20944,-1.03067,-1.20502,0.03944,-0.31087,0.25879,-2.17138,-0.0586,-0.06314,0.55569,1.3692,1,0,1,1,0
157,1.5217,-0.01546,-0.88994,0.93184,-0.16265,-0.22683,1.06774,-0.00179,-0.02436,-1.59714,-0.90425,0,0,1,0,1
158,1.60005,-0.37557,0.18753,0.27289,2.61817,-0.83442,-0.87504,-0.1236,-0.01131,-1.12267,-0.55399,1,0,0,0,1
159,-0.70042,0.72425,1.16291,0.47979,-0.48415,-0.0261,-0.95449,0.02359,0.02989,0.00255,0.68333,1,0,0,0,0
160,0.49414,0.55466,0.35055,0.401,-1.43018,-1.3517,-0.50307,-0.09619,0.01956,0.71209,2.4085,0,0,1,1,1
161,-2.22438,-1.60386,-0.3852,0.31539,-0.02699,0.01474,0.17224,-0.03417,-0.06707,-1.99319,1.68751,0,0,0,0,0
162,1.93256,0.28263,0.46472,0.87579,-2.37464,0.59722,-0.15727,0.06778,-0.0451,-0.66878,-1.7585,1,1,0,0,1
163,5.56408,0.6458,-0.26727,0.02237,-0.39196,-1.10096,0.44807,0.05908,-0.00645,-0.21687,-3.21386,0,0,0,1,1
164,-1.64338,0.69394,-0.45568,1.90363,-0.28397,-1.32601,-1.43949,-0.0222,0.0134,-0.60206,3.23942,0,1,1,0,0
165,1.47466,1.66955,-0.82349,0.21933,0.4946,1.16355,-0.84239,-0.19681,0.00695,-2.97679,3.10349,0,0,0,1,1
166,1.63266,-1.09126,-1.30146,1.25258,0.67362,-0.58941,-0.216,0.27928,-0.04319,0.00109,-0.01732,0,0,0,0,1
167,1.5142,-0.76424,-0.21194,0.05685,-0.80357,0.80876,1.79789,0.15459,-0.1027,1.01934,-2.20573,1,0,0,1,1
168,2.17875,-0.88854,0.22644,0.00434,-0.45061,-0.2232,-0.21381,0.05227,-0.08995,-0.38334,1.14484,0,0,0,0,1
169,0.05199,-0.50764,0.0227,1.48365,-1.06612,-0.22956,0.98522,-0.09532,-0.02637,-1.53111,-0.46198,1,0,0,0,0
170,-0.32703,0.04024,-0.23277,0.55437,-1.42806,0.25073,-0.06144,-0.03136,-0.02289,-1.01313,-0.46947,0,0,0,0,0
171,-0.51005,0.52048,-0.6566,1.55136,0.00989,-0.8072,-0.58366,-0.07434,-0.09493,1.26991,1.04169,1,0,0,1,0
172,-0.67521,-0.52069,0.5866,0.10724,-1.57359,0.006,-0.34672,0.10639,-0.03777,0.40996,0.20156,0,0,0,1,0
173,-0.025,-0.54298,-0.95371,0.28101,-0.71463,-0.40519,-0.26842,0.00625,-0.00844,0.14003,-2.07872,0,0,0,0,0
174,0.30986,0.0541,0.72082,0.8595,-1.29517,-1.15639,0.50365,-0.09842,-0.09756,-0.14359,-0.78711,0,1,0,1,1
175,-0.10029,-0.95214,-0.70177,0.08955,0.24968,0.16999,1.27461,-0.06708,0.01525,-1.16114,0.69173,1,0,0,0,1
176,7.23001,2.13769,-0.50195,0.88981,1.50143,-0.31065,0.25968,0.09212,-0.05888,-0.70057,0.46538,0,0,0,1,1
177,-0.83348,-1.80376,-1.07343,0.28885,-1.60159,-0.22562,1.08708,0.14001,0.02288,-0.57792,0.09302,1,0,0,1,0
178,1.40436,0.4208,-0.30112,0.66838,-2.15302,-1.06813,-1.06479,0.13283,-0.06667,0.04957,1.10013,0,0,0,1,1
179,-0.75895,1.74421,0.88025,2.47609,-0.42489,1.17312,-0.51463,0.0557,-0.09133,1.00892,-0.84258,0,0,0,1,0
180,2.16837,0.62285,0.5125,0.11145,-0.2843,0.60137,-0.8243,-0.04526,-0.06291,0.61834,-0.032,1,0,1,1,1
181,0.71561,-0.20234,0.88274,0.63402,-0.08134,0.67132,0.21444,-0.34415,-0.04476,-1.91938,-5.36337,0,1,0,0,1
182,-0.16116,-0.81459,0.51771,0.31106,-0.74632,-0.34436,-0.45896,0.00972,-0.05942,-0.27601,-0.97448,0,0,0,1,0
183,-0.61173,-0.70166,-0.78294,0.71563,-0.50064,-1.48335,0.62977,-0.02018,-0.0508,0.23676,0.84585,0,0,0,1,0
184,-0.30278,1.31759,-0.16463,0.40189,0.06751,1.46233,-1.031,-0.006,-0.0233,0.11886,-0.88559,0,0,0,1,1
185,-0.71828,-2.4789,-0.52416,0.27451,0.74043,-0.14888,-0.05697,-0.01461,-0.04856,-1.12923,-0.99934,0,0,1,0,0
186,1.18439,1.54763,1.16446,0.73137,-2.25505,-0.69904,0.58686,-0.15263,-0.04331,2.41411,-1.86218,0,0,0,0,1
187,-0.01801,6.31433,-0.85743,3.11889,-0.66894,0.23344,-2.1653,0.03574,-0.12546,-1.77708,1.20505,0,0,0,0,1
188,-0.18515,-0.4885,0.81496,0.55925,-0.08619,0.8337,2.02163,0.04322,-0.02042,-1.58319,0.52269,1,0,1,1,0
